subject ROI    y     x
HMN116 RIns 0.1466 15.93
HMN117 RIns 0.1795 18.86
HMN118 RIns 0.0824 14.6
HMN119 RIns -0.0081 15.48
HMN120 RIns 0.2528 14.95
HMN121 RIns 0.202 17.86
HMN122 RIns 0.1025 19
HMN123 RIns -0.1748 16.32
HMN124 RIns 0.0457 18
HMN125_W2 RIns 0.0642 18.26
HMN126 RIns 0.1276 12.98
HMN127 RIns 0.212 16.74
HMN129_W2 RIns 0.1326 14.29
HMN130 RIns 0.2028 14.8
HMN134 RIns 0.034 13.07
HMN136 RIns 0.3969 16.07
HMN138 RIns 0.3788 17.39
HMN140 RIns 0.2825 14.1
HMN143 RIns 0.1719 18.68
HMN144 RIns -0.0505 16.24
HMN161_W2 RIns 0.385 16.14
HMN167 RIns 0.2204 16.12
HMN169 RIns 0.0508 16.55
HMN172 RIns 0.1917 16.24
HMN174 RIns -0.0338 18
HMN175 RIns 0.2123 19.79
HMN178 RIns 0.2362 16.95
HMN180 RIns 0.3863 16.86
HMN182 RIns -0.0451 17.95
HMN183 RIns 0.2809 18.6
HMN184 RIns 0.313 17.12
HMN186 RIns -0.066 17.07
HMN187 RIns 0.1322 19.6
HMN188 RIns 0.2772 18.1
HMN189 RIns 0.0737 16.74
HMN190 RIns 0.1449 17.33
HMN191 RIns -0.1076 17.98
HMN193 RIns 0.0537 11.4
HMN194 RIns 0.0535 18.93
HMN196 RIns 0.3082 19.31
HMN197 RIns 0.181 18
HMN199 RIns 0.2341 15.26
HMN201 RIns 0.3084 17.21
HMN001 LIPL 0.2518 17.76
HMN002 LIPL 0.4374 17.05
HMN003 LIPL 0.2044 15.81
HMN004 LIPL -0.153 15.19
HMN005 LIPL 0.4162 17.31
HMN006 LIPL 0.3738 19.9
HMN007 LIPL 0.3779 16.76
HMN008 LIPL 0.3435 19.48
HMN011 LIPL 0.477 16.88
HMN012 LIPL 0.287 19.29
HMN013 LIPL 0.4332 19.62
HMN014 LIPL 0.4351 17.48
HMN018 LIPL 0.093 17.95
HMN019 LIPL 0.2537 19.07
HMN020 LIPL 0.4191 17.33
HMN021 LIPL 0.2586 18.19
HMN023 LIPL 0.4185 19.57
HMN024 LIPL 0.1545 18.75
HMN025 LIPL -0.0283 18.95
HMN026 LIPL 0.3436 18.14
HMN027 LIPL -0.0454 18.98
HMN028 LIPL 0.3396 17.88
HMN029 LIPL 0.2402 19.71
HMN030 LIPL 0.5817 15.93
HMN031 LIPL 0.345 15.76
HMN032 LIPL 0.1948 18.29
HMN033 LIPL 0.2015 11.24
HMN035 LIPL 0.3193 17.76
HMN037 LIPL 0.2413 17.41
HMN038 LIPL 0.4215 17.81
HMN039 LIPL 0.7332 17.12
HMN040 LIPL 0.1184 13.02
HMN041 LIPL 0.4579 16.83
HMN042 LIPL 0.3756 16.69
HMN043 LIPL 0.2287 16.48
HMN045 LIPL 0.0065 19.46
HMN048 LIPL 0.0245 15.86
HMN049 LIPL 0.2739 16.76
HMN050_2 LIPL 0.4413 19.05
HMN052 LIPL 0.5092 18.76
HMN053 LIPL 0.2589 11.88
HMN055 LIPL 0.2803 15.69
HMN056 LIPL 0.2232 19.95
HMN057 LIPL 0.5024 17.45
HMN058 LIPL 0.3195 18.6
HMN060 LIPL 0.4137 19.33
HMN062 LIPL 0.008 14.67
